CHAMADO,DT_ABERTURA_CHAMADO,TIPO_CHAMADO,MODULO_CHAMADO,COMPLEXIDADE,IS,ANOMES_ABERTURA
TASK105650126-1,2024-01-22 08:20:45,Suporte,Infra,N1,MGRK,202401
TASK105650981-1,2024-01-22 13:24:05,Suporte,Infra,N1,JOJC,202401
TASK105656307-1,2024-01-26 06:09:42,Suporte,Infra,N1,MIDS,202401
TASK105658949-1,2024-01-29 05:09:43,Transporte,Infra,N2,GRIA,202401
TASK105632395-1,2023-12-27 12:11:52,Suporte,Financeiro,N1,JNIS,202312
TASK105665502-1,2024-02-02 08:06:05,Suporte,Infra,N1,FANT,202402
TASK105667402-1,2024-02-06 09:21:03,Perfis,Infra,N1,WJMS,202402
TASK105676270-1,2024-02-14 12:02:58,Transporte,Infra,N2,ESCM,202402
TASK105690615-1,2024-02-26 05:49:46,Transporte,Infra,N2,MGRK,202402
TASK105692273-1,2024-02-27 07:50:00,Transporte,Infra,N2,JOJC,202402
TASK105692495-1,2024-02-27 12:36:11,Transporte,Infra,N2,MIDS,202402
TASK105693388-1,2024-02-29 09:00:14,Transporte,Infra,N2,GRIA,202402
TASK105701354-1,2024-03-11 07:47:16,Transporte,Infra,N2,FANT,202403
TASK105701355-1,2024-03-11 07:51:09,Perfis,Infra,N1,WJMS,202403
TASK105709508-1,2024-03-13 14:33:41,Transporte,Infra,N2,ESCM,202403
TASK105710898-1,2024-03-15 10:34:31,Transporte,Infra,N2,MGRK,202403
TASK105718485-1,2024-03-22 08:26:19,Transporte,Infra,N2,JOJC,202403
TASK105630724-1,2023-12-26 05:31:52,Suporte,BI,N1,LFED2,202312
TASK105677063-1,2024-02-15 07:31:30,Projetos,BI,N2,FSIM,202402
TASK105682334-1,2024-02-20 11:24:50,Melhoria,Financeiro,N3,ASGN,202402
TASK105664554-1,2024-02-01 13:23:15,Perfis,Infra,N1,MIDS,202402
TASK105665887-1,2024-02-02 12:52:53,Suporte,Financeiro,N1,EDSR,202402
TASK105667011-1,2024-02-05 13:45:40,Perfis,Infra,N1,GRIA,202402
TASK105669967-1,2024-02-08 06:31:11,Suporte,Qualidade,N1,TSIA,202402
TASK105678783-1,2024-02-16 12:38:12,Perfis,Infra,N1,FANT,202402
TASK105678784-1,2024-02-16 12:42:58,Perfis,Infra,N1,WJMS,202402
TASK105695171-1,2024-03-01 14:12:02,Perfis,Infra,N1,ESCM,202403
TASK105695721-1,2024-03-04 07:08:04,Perfis,Infra,N1,MGRK,202403
TASK105699882-1,2024-03-08 07:19:46,Perfis,Infra,N1,JOJC,202403
TASK105701329-1,2024-03-11 06:47:12,Perfis,Infra,N1,MIDS,202403
TASK105710005-1,2024-03-14 06:15:38,Suporte,Infra,N1,GRIA,202403
TASK105713384-1,2024-03-19 05:57:32,Perfis,Infra,N1,FANT,202403
TASK105713388-1,2024-03-19 06:57:30,Suporte,Financeiro,N1,RRLV,202403
TASK105713389-1,2024-03-19 07:47:17,Perfis,Infra,N1,WJMS,202403
TASK105716505-1,2024-03-21 08:00:51,Perfis,Infra,N1,ESCM,202403
TASK105719110-1,2024-03-22 13:55:32,Perfis,Infra,N1,MGRK,202403
TASK105720677-1,2024-03-25 10:55:38,Perfis,Infra,N1,JOJC,202403
TASK105721229-1,2024-03-25 12:03:31,Perfis,Infra,N1,MIDS,202403
TASK105722712-1,2024-03-27 09:45:48,Perfis,Infra,N1,GRIA,202403
TASK105723070-1,2024-03-27 14:03:04,Perfis,Infra,N1,FANT,202403
TASK105723072-1,2024-03-27 14:09:47,Perfis,Infra,N1,WJMS,202403
TASK105723074-1,2024-03-27 14:21:12,Perfis,Infra,N1,ESCM,202403
TASK105635923-1,2024-01-04 10:21:55,Suporte,Vendas,N1,LAS,202401
TASK105636757-1,2024-01-05 08:30:05,Perfis,Infra,N1,MGRK,202401
TASK105637066-1,2024-01-05 13:35:11,Perfis,Infra,N1,JOJC,202401
TASK105637815-1,2024-01-08 07:40:49,Perfis,Infra,N1,MIDS,202401
TASK105637821-1,2024-01-08 08:18:10,Manutenção,Dev,N1,IFGO,202401
TASK105637893-1,2024-01-08 09:08:43,Perfis,Infra,N1,GRIA,202401
TASK105638237-1,2024-01-08 10:54:31,Perfis,Infra,N1,FANT,202401
TASK105638589-1,2024-01-08 12:54:02,Perfis,Infra,N1,WJMS,202401
TASK105639279-1,2024-01-09 05:21:15,Perfis,Infra,N1,ESCM,202401
TASK105639280-1,2024-01-09 05:26:45,Perfis,Infra,N1,MGRK,202401
TASK105639282-1,2024-01-09 06:05:21,Perfis,Infra,N1,JOJC,202401
TASK105639720-1,2024-01-09 13:18:20,Perfis,Infra,N1,MIDS,202401
TASK105639723-1,2024-01-09 13:40:37,Perfis,Infra,N1,GRIA,202401
TASK105640093-1,2024-01-10 07:49:11,Perfis,Infra,N1,FANT,202401
TASK105640388-1,2024-01-10 10:55:53,Perfis,Infra,N1,WJMS,202401
TASK105641067-1,2024-01-11 09:03:15,Perfis,Infra,N1,ESCM,202401
TASK105641132-1,2024-01-11 10:15:17,Perfis,Infra,N1,MGRK,202401
